userId,subjectId,rating
1,1000,4.1
1,1001,3
1,1002,4.5
1,1003,3.8
1,1004,3.5
1,1005,3.9
1,1006,2.5
1,1007,2
1,1008,2
1,1009,2
1,1010,2
1,1011,2
1,1012,2
1,1013,2
1,1014,2
1,1015,2
1,1016,2
2,1053,5
2,1054,4.9
2,1055,4.8
2,1056,4.7
2,1057,3
2,1058,4.3
2,1059,4.2
2,1060,2.7
2,1061,3.7
2,1062,4.5
2,1063,3.8
2,1064,2.5
2,1065,3
2,1066,4.1
2,1067,1.8
1,1017,2
1,1018,2
1,1019,2
1,1020,2
1,1021,2
1,1022,2
1,1023,2
1,1024,2
1,1025,2
1,1026,2
1,1027,2
1,1028,2
1,1029,2
1,1030,2
1,1031,2
1,1032,2
1,1033,2
1,1034,2
1,1035,2
1,1036,2
1,1037,2
1,1038,2
1,1039,2
1,1040,2
1,1041,2
1,1042,2
1,1043,2
1,1044,2
1,1045,2
1,1046,2
1,1047,2
1,1048,2
1,1049,2
1,1050,2
1,1051,2
1,1052,2
1,1053,2
1,1054,2
1,1055,2
1,1056,2
1,1057,2
1,1058,2
1,1059,2
1,1060,2
1,1061,2
1,1062,2
1,1063,2
1,1064,2
1,1065,1
1,1066,2
1,1067,2
2,1000,1
2,1001,1
2,1002,1
2,1003,1
2,1004,1
2,1005,1
2,1006,1
2,1007,1
2,1008,1
2,1009,1
2,1010,1
2,1011,1
2,1012,1
2,1013,1
2,1014,1
2,1015,1
2,1016,1
2,1017,1
2,1018,1
2,1019,1
2,1020,1
2,1021,1
2,1022,1
2,1023,1
2,1024,1
2,1025,1
2,1026,1
2,1027,1
2,1028,1
2,1029,1
2,1030,1
2,1031,1
2,1032,1
2,1033,1
2,1034,1
2,1035,1
2,1036,1
2,1037,1
2,1038,1
2,1039,1
2,1040,1
2,1041,1
2,1042,1
2,1043,1
2,1044,1
2,1045,1
2,1046,1
2,1047,1
2,1048,1
2,1049,1
2,1050,1
2,1051,1
2,1052,1
2,1053,1
2,1054,1
2,1055,1
2,1056,1
2,1057,1
2,1058,1
2,1059,1
2,1060,1
2,1061,1
2,1062,1
2,1063,1
2,1064,1
2,1065,1
2,1066,1
2,1067,1
2,1068,1
2,1069,1
2,1070,1
2,1071,1
2,1072,1
2,1073,1
2,1074,1
2,1075,1
2,1076,1
2,1077,1
2,1078,1
2,1079,1
2,1080,1
2,1081,1
2,1082,1
2,1083,1
2,1084,1
2,1085,1
2,1086,1
2,1087,1
2,1088,1
2,1089,1
2,1090,1
2,1091,1
2,1092,1
2,1093,1
2,1094,1
2,1095,1
2,1096,1
2,1097,1
2,1098,1
2,1099,1
2,1100,1
2,1101,1
2,1102,1
2,1103,1
2,1104,1
2,1105,1
2,1106,1
2,1107,1
2,1108,1
2,1109,1
2,1110,1
2,1111,1
2,1112,1
2,1113,1
2,1114,1
2,1115,1
2,1116,1
2,1117,1
2,1118,1
2,1119,1
2,1120,1
2,1121,1
2,1122,1
2,1123,1
2,1124,1
2,1125,1
2,1126,1
2,1127,1
2,1128,1
2,1129,1
2,1130,1
2,1131,1
2,1132,1
2,1133,1
2,1134,1
2,1135,1
2,1136,1
2,1137,1
2,1138,1
2,1139,1
2,1140,1
2,1141,1
2,1142,1
2,1143,1
2,1144,1
2,1145,1
2,1146,1
2,1147,1
2,1148,1
2,1149,1
2,1150,1
2,1151,1
2,1152,1
3,1000,2
3,1001,2
3,1002,2
3,1003,2
3,1004,2
3,1005,2
3,1006,2
3,1007,5
3,1008,2
3,1009,2
3,1010,2
3,1011,2
3,1012,2
3,1013,2
3,1014,2
3,1015,2
3,1016,2
3,1017,2
3,1018,2
3,1019,2
3,1020,2
3,1021,2
3,1022,2
3,1023,2
3,1024,5
3,1025,4
3,1026,2
3,1027,2
3,1028,2
3,1029,2
3,1030,2
3,1031,2
3,1032,2
3,1033,2
3,1034,2
3,1035,5
3,1036,4.6
3,1037,2
3,1038,2
3,1039,2
3,1040,4.8
3,1041,2
3,1042,2
3,1043,3.9
3,1044,4.7
3,1045,2
3,1046,2
3,1047,2
3,1048,2
3,1049,2
3,1050,2
3,1051,2
3,1052,2
3,1053,2
3,1054,2
3,1055,2
3,1056,2
3,1057,2
3,1058,2
3,1059,2
3,1060,2
3,1061,2
3,1062,2
3,1063,2
3,1064,2
3,1065,2.3
3,1066,2
3,1067,2
4,1000,2
4,1001,2
4,1002,2
4,1003,2
4,1004,2
4,1005,2
4,1006,2
4,1007,2
4,1008,2
4,1009,2
4,1010,2
4,1011,2
4,1012,2
4,1013,2
4,1014,2
4,1015,2
4,1016,2
4,1017,2
4,1018,2
4,1019,2
4,1020,2
4,1021,2
4,1022,2
4,1023,2
4,1024,2
4,1025,2
4,1026,2
4,1027,2
4,1028,2
4,1029,2
4,1030,2
4,1031,2
4,1032,2
4,1033,2
4,1034,3.4
4,1035,2
4,1036,2
4,1037,2
4,1038,2
4,1039,2
4,1040,2
4,1041,2
4,1042,2
4,1043,2
4,1044,2
4,1045,2
4,1046,4.9
4,1047,5
4,1048,4.5
4,1049,2
4,1050,3.8
4,1051,3.5
4,1052,2
4,1053,2
4,1054,2
4,1055,2
4,1056,2
4,1057,2
4,1058,2
4,1059,2
4,1060,2
4,1061,2
4,1062,2
4,1063,2
4,1064,2
4,1065,0.5
4,1066,2
4,1067,2
